"","LocalityCode","LocalityName","Region","Treatment"
"1","DHB","didrik_holmsen","Hedmark","B"
"2","DHUB","didrik_holmsen","Hedmark","UB"
"3","SSAB","stangeskovene_aurskog","Hedmark","B"
"4","SSAUB","stangeskovene_aurskog","Hedmark","UB"
"5","SDB","stig_dahlen","Hedmark","B"
"6","SDUB","stig_dahlen","Hedmark","UB"
"7","THB","truls_holm","Hedmark","B"
"8","THUB","truls_holm","Hedmark","UB"
"9","SKB","sorum_1","Hedmark","B"
"10","SKUB","sorum_1","Hedmark","UB"
"11","FKB","fet_3","Hedmark","B"
"12","FKUB","fet_3","Hedmark","UB"
"13","STSKNB","eidskog","Hedmark","B"
"14","STSKNUB","eidskog","Hedmark","UB"
"15","DDB","nes_1","Hedmark","B"
"16","DDUB","nes_1","Hedmark","UB"
"17","OLB","nes_2","Hedmark","B"
"18","OLUB","nes_2","Hedmark","UB"
"19","IAAB","kongsvinger_1","Hedmark","B"
"20","IAAUB","kongsvinger_1","Hedmark","UB"
"21","JCDB","kongsvinger_2","Hedmark","B"
"22","JCDUB","kongsvinger_2","Hedmark","UB"
"23","M1B","maarud_1","Hedmark","B"
"24","M1UB","maarud_1","Hedmark","UB"
"25","M2B","maarud_2","Hedmark","B"
"26","M2UB","maarud_2","Hedmark","UB"
"27","M3B","maarud_3","Hedmark","B"
"28","M3UB","maarud_3","Hedmark","UB"
"29","HPB","halvard_pramhus","Hedmark","B"
"30","HPUB","halvard_pramhus","Hedmark","UB"
"31","SSBB","stangeskovene_eidskog","Hedmark","B"
"32","SSBUB","stangeskovene_eidskog","Hedmark","UB"
"33","1FRB","fritsoe1","Telemark","B"
"34","1FRUB","fritsoe1","Telemark","UB"
"35","2FRB","fritsoe2","Telemark","B"
"36","2FRUB","fritsoe2","Telemark","UB"
"37","1CAB","nome_cappelen1","Telemark","B"
"38","1CAUB","nome_cappelen1","Telemark","UB"
"39","1NOB","notodden1","Telemark","B"
"40","1NOUB","notodden1","Telemark","UB"
"41","3NOB","notodden3","Telemark","B"
"42","3NOUB","notodden3","Telemark","UB"
"43","4NOB","notodden4","Telemark","B"
"44","4NOUB","notodden4","Telemark","UB"
"45","5NOB","notodden5","Telemark","B"
"46","5NOUB","notodden5","Telemark","UB"
"47","6NOB","notodden6","Telemark","B"
"48","6NOUB","notodden6","Telemark","UB"
"49","1DRB","drangedal1","Telemark","B"
"50","1DRUB","drangedal1","Telemark","UB"
"51","3DRB","drangedal3","Telemark","B"
"52","3DRUB","drangedal3","Telemark","UB"
"53","4DRB","drangedal4","Telemark","B"
"54","4DRUB","drangedal4","Telemark","UB"
"55","2CAB","nome_cappelen2","Telemark","B"
"56","2CAUB","nome_cappelen2","Telemark","UB"
"57","1KVB","kviteseid1","Telemark","B"
"58","1KVUB","kviteseid1","Telemark","UB"
"59","2KVB","kviteseid2","Telemark","B"
"60","2KVUB","kviteseid2","Telemark","UB"
"61","3KVB","kviteseid3","Telemark","B"
"62","3KVUB","kviteseid3","Telemark","UB"
"63","1FYB","furesdal","Telemark","B"
"64","1FYUB","furesdal","Telemark","UB"
"65","BRB","bratsberg","Trøndelag","B"
"66","BRUB","bratsberg","Trøndelag","UB"
"67","LAB","singsaas","Trøndelag","B"
"68","LAUB","singsaas","Trøndelag","UB"
"73","KLB","selbu_kl","Trøndelag","B"
"74","KLUB","selbu_kl","Trøndelag","UB"
"75","SLB","selbu_sl","Trøndelag","B"
"76","SLUB","selbu_sl","Trøndelag","UB"
"79","SEB","sl_tydal","Trøndelag","B"
"80","SEUB","sl_tydal","Trøndelag","UB"
"81","1BBB","steinkjer_1bbb","Trøndelag","B"
"82","1BBUB","steinkjer_1bbb","Trøndelag","UB"
"83","2BBB","steinkjer_2bbb","Trøndelag","B"
"84","2BBUB","steinkjer_2bbb","Trøndelag","UB"
"85","1NSB","nsb_verdal","Trøndelag","B"
"86","1NSUB","nsb_verdal","Trøndelag","UB"
"87","1VBB","verdal_1vb","Trøndelag","B"
"88","1VBUB","verdal_1vb","Trøndelag","UB"
"89","2VBB","verdal_2vb","Trøndelag","B"
"90","2VBUB","verdal_2vb","Trøndelag","UB"
"91","1KB","namdalseid_1kub","Trøndelag","B"
"92","1KUB","namdalseid_1kub","Trøndelag","UB"
"93","1SB","sub_namdalseid","Trøndelag","B"
"94","1SUB","sub_namdalseid","Trøndelag","UB"
